unique_location,count(nik),koordinat
JAWA BARAT_TASIKMALAYA_TAWANG_TAWANGSARI,3620,"(-7.323069999999973, 108.22153000000009, 'Tawangsari, Tawang, Tasikmalaya, Jawa Barat')"
JAWA BARAT_PURWAKARTA_PLERED_CIBOGOGIRANG,5282,"(-6.656589999999937, 107.38894000000005, 'Cibogo Girang, Plered, Jawa Barat')"
JAWA BARAT_PURWAKARTA_PLERED_LINGGARSARI,3107,"(-6.632599999999968, 107.37804000000006, 'Linggarsari, Plered, Jawa Barat')"
JAWA BARAT_SUBANG_SAGALAHERANG_DAYEUHKOLOT,3803,"(-6.670069999999953, 107.63772000000006, 'Dayeuhkolot, Sagalaherang, Jawa Barat')"
JAWA BARAT_CIREBON_HARJAMUKTI_KALIJAGA,22353,"(-6.756909999999948, 108.54818000000006, 'Kalijaga, Harjamukti, Cirebon, Jawa Barat')"
JAWA BARAT_BANDUNG_ANDIR_GARUDA,7239,"(-6.912429999999972, 107.57659000000007, 'Garuda, Andir, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_KIARACONDONG_BABAKAN SURABAYA,13272,"(-6.917119999999954, 107.64822000000004, 'Babakan Surabaya, Kiaracondong, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_LENGKONG_MALABAR,5854,"(-6.928049999999928, 107.61972000000009, 'Malabar, Lengkong, Bandung, Jawa Barat')"
JAWA BARAT_BEKASI_BEKASI TIMUR_MARGAHAYU,34153,"(-6.253219999999942, 107.01041000000004, 'Margahayu, Bekasi Timur, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_BEKASI UTARA_KALIABANG TENGAH,51574,"(-6.188579999999945, 107.00303000000008, 'Kaliabang Tengah, Bekasi Utara, Bekasi, Jawa Barat')"
JAWA BARAT_BANDUNG_CIBIRU_PASIR BIRU,9802,"(-6.920559999999966, 107.72416000000004, 'Pasir Biru, Cibiru, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_MANDALAJATI_PASIR IMPUN,8190,"(-6.8974999999999795, 107.67901000000006, 'Pasir Impun, Mandalajati, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_PANYILEUKAN_CIPADUNG KIDUL,10254,"(-6.937949999999944, 107.71195000000006, 'Cipadung Kidul, Panyileukan, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_PANYILEUKAN_CIPADUNG KULON,8653,"(-6.921899999999937, 107.70454000000007, 'Cipadung Kulon, Panyileukan, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_PANYILEUKAN_CIPADUNG WETAN,2351,"(-6.932009999999934, 107.71291000000008, 'Cipadung Wetan, Panyileukan, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_RANCASARI_CIPAMOKOLAN,14679,"(-6.946519999999964, 107.67540000000008, 'Cipamokolan, Rancasari, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_RANCASARI_DERWATI,12074,"(-6.964849999999956, 107.68346000000008, 'Derwati, Rancasari, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_RANCASARI_MAJAHLEGA,15085,"(-6.94724999999994, 107.66687000000007, 'Manjahlega, Rancasari, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_RANCASARI_MEKARJAYA,11494,"(-6.9628099999999336, 107.66916000000003, 'Mekarjaya, Rancasari, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_REGOL_ANCOL,8395,"(-6.937409999999943, 107.61611000000005, 'Ancol, Regol, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_REGOL_BALONGGEDE,6326,"(-6.9243699999999535, 107.60675000000003, 'Balong Gede, Regol, Bandung, Jawa Barat')"
JAWA BARAT_BEKASI_SETU_RAGEMANUNGGAL,3998,"(-6.390009999999961, 107.01931000000008, 'Ragemanunggal, Setu, Bekasi, Jawa Barat')"
JAWA BARAT_CIMAHI_CIMAHI SELATAN_LEUWIGAJAH,29847,"(-6.905899999999974, 107.52767000000006, 'Leuwigajah, Cimahi Selatan, Jawa Barat')"
JAWA BARAT_CIMAHI_CIMAHI SELATAN_MELONG,43221,"(-6.92160999999993, 107.55774000000008, 'Melong, Cimahi Selatan, Jawa Barat')"
JAWA BARAT_DEPOK_SUKMAJAYA_BAKTIJAYA,37866,"(-6.379369999999938, 106.85012000000006, 'Bakti Jaya, Sukma Jaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_INDIHIANG_INDIHIANG,5857,"(-7.2821199999999635, 108.18759000000006, 'Indihiang, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_INDIHIANG_PANYINGKIRAN,5784,"(-7.3055799999999635, 108.20672000000008, 'Panyingkiran, Indihiang, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_INDIHIANG_PARAKANNYASAG,6903,"(-7.301589999999976, 108.21988000000005, 'Parakannyasag, Indihiang, Tasikmalaya, Jawa Barat')"
JAWA BARAT_MAJALENGKA_LIGUNG_LEUWEUNG HAPIT,1879,"(-6.6527399999999375, 108.31083000000007, 'Leuweunghapit, Ligung, Jawa Barat')"
JAWA BARAT_MAJALENGKA_MAJALENGKA_BABAKAN JAWA,5102,"(-6.84332999999998, 108.23060000000004, 'Babakan Jawa, Majalengka, Jawa Barat')"
JAWA BARAT_SUBANG_CIASEM_CIASEMBARU,8937,"(-6.306069999999977, 107.68175000000008, 'Ciasem Baru, Ciasem, Jawa Barat')"
JAWA BARAT_SUBANG_CIASEM_CIASEMGIRANG,10563,"(-6.332719999999938, 107.67446000000007, 'Ciasem Girang, Ciasem, Jawa Barat')"
JAWA BARAT_KUNINGAN_CIGUGUR_CIGADUNG,4924,"(-6.9857999999999265, 108.46438000000006, 'Cigadung, Cigugur, Jawa Barat')"
JAWA BARAT_KUNINGAN_CIGUGUR_CIGUGUR,5795,"(-6.9580799999999385, 108.46747000000005, 'Cigugur, Jawa Barat')"
JAWA BARAT_CIREBON_WERU_MEGU CILIK,6175,"(-6.71814999999998, 108.49809000000005, 'Megu Cilik, Weru, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_WERU_MEGU GEDE,6827,"(-6.722099999999955, 108.50069000000008, 'Megu Gede, Weru, Cirebon, Jawa Barat')"
JAWA BARAT_BANDUNG_CIMENYAN_CIBEUNYING,22259,"(-6.878529999999955, 107.63846000000007, 'Cibeunying, Cimenyan, Bandung, Jawa Barat')"
JAWA BARAT_INDRAMAYU_KEDOKAN BUNDER_KEDOKAN BUNDER,7015,"(-6.494969999999967, 108.40039000000007, 'Kedokan Bunder, Jawa Barat')"
JAWA BARAT_INDRAMAYU_KERTASEMAYA_LEMAH AYU,4225,"(-6.53013999999996, 108.38722000000007, 'Lemahayu, Kertasemaya, Jawa Barat')"
JAWA BARAT_INDRAMAYU_CIKEDUNG_CIKEDUNG,5467,"(-6.495309999999961, 108.18640000000005, 'Cikedung, Jawa Barat')"
JAWA BARAT_INDRAMAYU_GANTAR_BALERAJA,6230,"(-6.504899999999964, 107.92166000000009, 'Baleraja, Gantar, Jawa Barat')"
JAWA BARAT_BANDUNG BARAT_PADALARANG_TAGOG APU,7750,"(-6.8072199999999725, 107.48094000000003, 'Tagogapu, Padalarang, Jawa Barat')"
JAWA BARAT_BANDUNG BARAT_PARONGPONG_CIGUGUR GIRANG,10913,"(-6.829789999999946, 107.58586000000008, 'Cigugur Girang, Parongpong, Jawa Barat')"
JAWA BARAT_BANDUNG BARAT_PARONGPONG_CIHANJUANG RAHAYU,7520,"(-6.817909999999927, 107.57508000000007, 'Cihanjuang Rahayu, Parongpong, Jawa Barat')"
JAWA BARAT_BANDUNG_ASTANA ANYAR_NYENGSERET,8875,"(-6.930439999999976, 107.60257000000007, 'Nyengseret, Astana Anyar, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_ASTANA ANYAR_PANJUNAN,5464,"(-6.928739999999948, 107.59747000000004, 'Panjunan, Astana Anyar, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_ASTANA ANYAR_PELINDUNG HEWAN,14346,"(-6.940669999999955, 107.60371000000004, 'Pelindung Hewan, Astana Anyar, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BABAKAN CIPARAY_BABAKAN,18807,"(-7.083809999999971, 107.69032000000004, 'Babakan, Ciparay, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BABAKAN CIPARAY_BABAKAN CIPARAY,19612,"(-6.9389999999999645, 107.58057000000008, 'Babakan Ciparay, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BABAKAN CIPARAY_CIRANGRANG,6984,"(-6.954569999999933, 107.58629000000008, 'Cirangrang, Babakan Ciparay, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BABAKAN CIPARAY_MARGAHAYU UTARA,13001,"(-6.947169999999971, 107.57129000000003, 'Margahayu Utara, Babakan Ciparay, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BABAKAN CIPARAY_MARGASUKA,7534,"(-6.952159999999935, 107.57165000000003, 'Margasuka, Babakan Ciparay, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BABAKAN CIPARAY_SUKAHAJI,18734,"(-6.923469999999952, 107.58391000000006, 'Sukahaji, Babakan Ciparay, Bandung, Jawa Barat')"
JAWA BARAT_BEKASI_TAMBUN SELATAN_JATIMULYA,47924,"(-6.263189999999952, 107.02369000000004, 'Jatimulya, Tambun Selatan, Bekasi, Jawa Barat')"
JAWA BARAT_BANDUNG_UJUNG BERUNG_PASIRJATI,10604,"(-6.899109999999951, 107.71122000000008, 'Pasirjati, Ujung Berung, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_UJUNG BERUNG_PASIRWANGI,10100,"(-6.900129999999933, 107.70705000000004, 'Pasir Wangi, Ujung Berung, Bandung, Jawa Barat')"
JAWA BARAT_BEKASI_PONDOK MELATI_JATIMURNI,16504,"(-6.32720999999998, 106.93034000000006, 'Jatimurni, Pondok Melati, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_PONDOK MELATI_JATIRAHAYU,39219,"(-6.293639999999925, 106.92267000000004, 'Jatirahayu, Pondok Melati, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_PONDOK MELATI_JATIWARNA,14260,"(-6.304229999999961, 106.93211000000008, 'Jatiwarna, Pondok Melati, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_JATIASIH_JATIRASA,25750,"(-6.296169999999961, 106.96912000000003, 'Jatirasa, Jatiasih, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_JATIASIH_JATISARI,19999,"(-6.337199999999939, 106.94539000000009, 'Jatisari, Jatiasih, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_JATISAMPURNA_JATIKARYA,8301,"(-6.386009999999942, 106.91489000000007, 'Jatikarya, Jatisampurna, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_JATISAMPURNA_JATIRADEN,11086,"(-6.353729999999928, 106.92357000000004, 'Jatiraden, Jatisampurna, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_JATISAMPURNA_JATIRANGGA,8811,"(-6.361729999999966, 106.93855000000008, 'Jatirangga, Jatisampurna, Bekasi, Jawa Barat')"
JAWA BARAT_BANDUNG_MANDALAJATI_SINDANG JAYA,9592,"(-6.901179999999954, 107.68466000000006, 'Sindang Jaya, Mandalajati, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_PANYILEUKAN_MEKAR MULYA,4933,"(-6.927739999999972, 107.70230000000004, 'Mekar Mulya, Panyileukan, Bandung, Jawa Barat')"
JAWA BARAT_KUNINGAN_CIGUGUR_CIPARI,3206,"(-6.956839999999943, 108.46810000000005, 'Cipari, Cigugur, Jawa Barat')"
JAWA BARAT_INDRAMAYU_KEDOKAN BUNDER_KEDOKANBUNDER WETAN,6312,"(-6.513889999999947, 108.42730000000006, 'Kedokanbunder Wetan, Kedokan Bunder, Jawa Barat')"
JAWA BARAT_BEKASI_PONDOK MELATI_JATIMELATI,12504,"(-6.315449999999942, 106.93217000000004, 'Jatimelati, Pondok Melati, Bekasi, Jawa Barat')"
JAWA BARAT_KARAWANG_PURWASARI_TEGAL SARI,3229,"(-6.365959999999973, 107.42460000000005, 'Tegalsari, Purwasari, Jawa Barat')"
JAWA BARAT_BANDUNG_CIDADAP_LEDENG,7445,"(-6.853899999999953, 107.59741000000008, 'Ledeng, Cidadap, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_CINAMBO_BABAKAN PENGHULU,4800,"(-6.937179999999955, 107.68899000000005, 'Babakan Penghulu, Cinambo, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_CINAMBO_CISARANTEN WETAN,3824,"(-6.922979999999939, 107.68786000000006, 'Cisaranten Wetan, Cinambo, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_CINAMBO_SUKAMULYA,3536,"(-6.917159999999967, 107.69993000000005, 'Sukamulya, Cinambo, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_COBLONG_CIPAGANTI,8581,"(-6.8916999999999575, 107.60449000000006, 'Cipaganti, Coblong, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_COBLONG_DAGO,24036,"(-6.871999999999957, 107.61795000000006, 'Dago, Coblong, Bandung, Jawa Barat')"
JAWA BARAT_CIANJUR_HAURWANGI_SUKATANI,5323,"(-6.84964999999994, 107.30308000000008, 'Sukatani, Haurwangi, Jawa Barat')"
JAWA BARAT_SUBANG_CIASEM_CIASEMHILIR,7406,"(-6.311609999999973, 107.70784000000003, 'Ciasem Hilir, Ciasem, Jawa Barat')"
JAWA BARAT_SUBANG_CIASEM_SUKAMANDI JAYA,16834,"(-6.346159999999941, 107.66326000000004, 'Sukamandijaya, Ciasem, Jawa Barat')"
JAWA BARAT_BOGOR_CIBINONG_CIBINONG,16533,"(-6.491209999999967, 106.84501000000006, 'Cibinong, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_CIBINONG_CIRIMEKAR,8837,"(-6.466989999999953, 106.85713000000004, 'Cirimekar, Cibinong, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_CIBINONG_CIRIUNG,19307,"(-6.469769999999926, 106.86072000000007, 'Ciriung, Cibinong, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_CIBINONG_HARAPANJAYA,16482,"(-6.464869999999962, 106.83956000000006, 'Harapan Jaya, Cibinong, Bogor, Jawa Barat')"
JAWA BARAT_MAJALENGKA_TALAGA_KERTARAHAYU,727,"(-6.978149999999971, 108.29431000000005, 'Talaga, Jawa Barat')"
JAWA BARAT_SUBANG_CIPEUNDUEY_WANTILAN,6823,"(-6.501009999999951, 107.60206000000005, 'Wantilan, Cipeundeuy, Jawa Barat')"
JAWA BARAT_CIAMIS_RANCAH_JANGGALAHARJA,1147,"(-7.225629999999967, 108.49610000000007, 'Rancah, Jawa Barat')"
JAWA BARAT_BEKASI_BEKASI TIMUR_BEKASI JAYA,34177,"(-6.2328299999999786, 107.01260000000008, 'Bekasi Jaya, Bekasi Timur, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_BEKASI TIMUR_DUREN JAYA,42041,"(-6.234729999999956, 107.02494000000007, 'Duren Jaya, Bekasi Timur, Bekasi, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR TIMUR_SINDANGSARI,6291,"(-6.648409999999956, 106.84321000000006, 'Sindangsari, Bogor Timur, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR TIMUR_SUKASARI,8840,"(-6.6124399999999355, 106.80839000000009, 'Sukasari, Bogor Timur, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR TIMUR_TAJUR,4665,"(-6.6319599999999355, 106.82613000000003, 'Tajur, Bogor Timur, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR UTARA_BANTARJATI,16885,"(-6.5732699999999795, 106.81174000000004, 'Bantarjati, Bogor Utara, Bogor, Jawa Barat')"
JAWA BARAT_CIANJUR_CIANJUR_SAYANG,22755,"(-6.8293599999999515, 107.14459000000005, 'Sayang, Cianjur, Jawa Barat')"
JAWA BARAT_CIANJUR_CIANJUR_SOLOKPANDAN,8582,"(-6.818789999999979, 107.14480000000009, 'Solokpandan, Cianjur, Jawa Barat')"
JAWA BARAT_PURWAKARTA_BABAKANCIKAO_MARACANG,5818,"(-6.520089999999925, 107.43272000000007, 'Maracang, Babakancikao, Jawa Barat')"
JAWA BARAT_PURWAKARTA_BOJONG_BOJONGBARAT,2387,"(-6.709809999999948, 107.50432000000006, 'Bojong Barat, Bojong, Jawa Barat')"
JAWA BARAT_CIREBON_PASALEMAN_TANJUNG ANOM,3325,"(-6.915629999999965, 108.73956000000004, 'Pasaleman, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_PLERED_CANGKRING,4113,"(-6.6702699999999595, 108.50454000000008, 'Cangkring, Plered, Cirebon, Jawa Barat')"
JAWA BARAT_GARUT_GARUT KOTA_CIMUNCANG,6970,"(-7.2327699999999595, 107.91979000000003, 'Cimuncang, Garut Kota, Jawa Barat')"
JAWA BARAT_BOGOR_SUKARAJA_PASIR LAJA,8862,"(-6.548779999999965, 106.83671000000004, 'Pasirlaja, Sukaraja, Bogor, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_MANGKUBUMI_KARIKIL,6004,"(-7.359119999999962, 108.17355000000003, 'Karikil, Mangkubumi, Tasikmalaya, Jawa Barat')"
JAWA BARAT_TASIKMALAYA_MANGKUBUMI_LINGGAJAYA,12395,"(-7.332009999999968, 108.19366000000008, 'Linggajaya, Mangkubumi, Tasikmalaya, Jawa Barat')"
JAWA BARAT_MAJALENGKA_CINGAMBUL_CIMANGGU GIRANG,1687,"(-7.032009999999957, 108.35287000000005, 'Cimanggugirang, Cingambul, Jawa Barat')"
JAWA BARAT_SUKABUMI_BAROS_JAYAMEKAR,3597,"(-6.9619299999999384, 106.92467000000005, 'Jayamekar, Baros, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_BAROS_JAYARAKSA,4911,"(-6.956659999999943, 106.93351000000007, 'Jayaraksa, Baros, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_BAROS_SUDAJAYAHILIR,4390,"(-6.96151999999995, 106.92145000000005, 'Sudajaya Hilir, Baros, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_CIBEUREUM_BABAKAN,6462,"(-6.936959999999942, 106.95619000000005, 'Babakan, Cibeureum, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_CIBEUREUM_CIBEUREUM HILIR,9203,"(-6.926129999999944, 106.94633000000005, 'Cibeureum Hilir, Cibeureum, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_CIBEUREUM_LIMUSNUNGGAL,7845,"(-6.946479999999951, 106.94223000000005, 'Limusnunggal, Cibeureum, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_CIBEUREUM_SINDANGPALAY,5032,"(-6.953209999999956, 106.94858000000005, 'Sindangpalay, Cibeureum, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_CIKOLE_CIKOLE,4032,"(-6.913409999999942, 106.93741000000006, 'Cikole, Sukabumi, Jawa Barat')"
JAWA BARAT_MAJALENGKA_ARGAPURA_HEUBEUL ISUK,1025,"(-6.85761999999994, 108.31694000000005, 'Heubeulisuk, Argapura, Jawa Barat')"
JAWA BARAT_BANDUNG_CINAMBO_PAKEMITAN,3580,"(-6.915779999999927, 107.69269000000008, 'Pakemitan, Cinambo, Bandung, Jawa Barat')"
JAWA BARAT_BEKASI_BEKASI UTARA_MARGA MULYA,12981,"(-6.224769999999978, 107.00114000000008, 'Marga Mulya, Bekasi Utara, Bekasi, Jawa Barat')"
JAWA BARAT_BEKASI_BEKASI UTARA_PERWIRA,20576,"(-6.205979999999954, 107.01355000000007, 'Perwira, Bekasi Utara, Bekasi, Jawa Barat')"
JAWA BARAT_PURWAKARTA_BOJONG_BOJONGTIMUR,2898,"(-6.7313850073755646, 107.51823496889241, 'Jalan Bojong Timur, Bojong, Jawa Barat, 41164')"
JAWA BARAT_GARUT_GARUT KOTA_CIWALEN,5380,"(-7.214109999999948, 107.90885000000009, 'Ciwalen, Garut Kota, Jawa Barat')"
JAWA BARAT_GARUT_GARUT KOTA_KOTA KULON,14107,"(-7.226449999999943, 107.91114000000005, 'Kotakulon, Garut Kota, Jawa Barat')"
JAWA BARAT_PURWAKARTA_PURWAKARTA_NAGRIKALER,15846,"(-6.5569399999999405, 107.44333000000006, 'Purwakarta, Jawa Barat')"
JAWA BARAT_PURWAKARTA_PURWAKARTA_NAGRIKIDUL,10293,"(-6.563140010257783, 107.45073998693877, 'Jalan Nagri Kidul, Purwakarta, Jawa Barat, 41111')"
JAWA BARAT_PURWAKARTA_PURWAKARTA_NAGRITENGAH,7347,"(-6.5569399999999405, 107.44333000000006, 'Purwakarta, Jawa Barat')"
JAWA BARAT_PURWAKARTA_PURWAKARTA_PURWAMEKAR,6174,"(-6.529259999999965, 107.43337000000008, 'Purwamekar, Purwakarta, Jawa Barat')"
JAWA BARAT_PURWAKARTA_PURWAKARTA_SINDANGKASIH,12900,"(-6.5606599999999275, 107.44113000000004, 'Sindangkasih, Purwakarta, Jawa Barat')"
JAWA BARAT_PURWAKARTA_PURWAKARTA_TEGALMUNJUL,10403,"(-6.546239999999955, 107.44887000000006, 'Tegalmunjul, Purwakarta, Jawa Barat')"
JAWA BARAT_PURWAKARTA_SUKATANI_CIANTINGUTARA,1997,"(-6.628239999999948, 107.40411000000006, 'Cianting Utara, Sukatani, Jawa Barat')"
JAWA BARAT_CIREBON_SUMBER_BABAKAN,2835,"(-6.773449999999968, 108.48313000000007, 'Babakan, Sumber, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_SUMBER_GEGUNUNG,3453,"(-6.749269999999967, 108.49842000000007, 'Gegunung, Sumber, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_SUMBER_KALIWADAS,5542,"(-6.747109999999964, 108.48233000000005, 'Kaliwadas, Sumber, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_SUMBER_KEMANTREN,3188,"(-6.758559999999932, 108.49389000000008, 'Kemantren, Sumber, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_SUMBER_KENANGA,5819,"(-6.75709999999998, 108.46716000000004, 'Kenanga, Sumber, Cirebon, Jawa Barat')"
JAWA BARAT_CIREBON_SUMBER_PASALAKAN,5719,"(-6.739619999999945, 108.48286000000007, 'Pasalakan, Sumber, Cirebon, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR BARAT_MENTENG,11688,"(-6.581559999999968, 106.78110000000004, 'Menteng, Bogor Barat, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR BARAT_PASIR JAYA,13697,"(-6.6106699999999705, 106.79268000000008, 'Pasirjaya, Bogor Barat, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR BARAT_PASIR KUDA,10614,"(-6.60567999999995, 106.78594000000004, 'Pasirkuda, Bogor Barat, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR BARAT_PASIR MULYA,3860,"(-6.598179999999957, 106.77564000000007, 'Pasirmulya, Bogor Barat, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR BARAT_SEMPLAK,7708,"(-6.556679999999972, 106.76188000000008, 'Semplak, Bogor Barat, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR BARAT_SINDANG BARANG,11524,"(-6.575649999999939, 106.76187000000004, 'Sindangbarang, Bogor Barat, Bogor, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR BARAT_SITU GEDE,7227,"(-6.553139999999928, 106.74513000000007, 'Situgede, Bogor Barat, Bogor, Jawa Barat')"
JAWA BARAT_DEPOK_CIMANGGIS_CISALAK PASAR,16022,"(-6.374879999999962, 106.87376000000006, 'Cisalak Pasar, Cimanggis, Jawa Barat')"
JAWA BARAT_DEPOK_CIMANGGIS_CURUG,14774,"(-6.3863399999999615, 106.87146000000007, 'Curug, Cimanggis, Jawa Barat')"
JAWA BARAT_INDRAMAYU_HAURGEULIS_SIDADADI,4708,"(-6.418029999999931, 107.96279000000004, 'Sidadadi, Haurgeulis, Jawa Barat')"
JAWA BARAT_INDRAMAYU_INDRAMAYU_KARANGANYAR,2585,"(-6.338069999999959, 108.33333000000005, 'Karanganyar, Indramayu, Jawa Barat')"
JAWA BARAT_INDRAMAYU_INDRAMAYU_KARANGMALANG,2483,"(-6.342439999999954, 108.33067000000005, 'Karangmalang, Indramayu, Jawa Barat')"
JAWA BARAT_INDRAMAYU_INDRAMAYU_KEPANDEAN,2242,"(-6.345019999999977, 108.32346000000007, 'Kepandean, Indramayu, Jawa Barat')"
JAWA BARAT_INDRAMAYU_INDRAMAYU_LEMAH ABANG,2855,"(-6.329809999999952, 108.32799000000006, 'Lemahabang, Indramayu, Jawa Barat')"
JAWA BARAT_INDRAMAYU_INDRAMAYU_LEMAH MEKAR,5901,"(-6.334199999999953, 108.33271000000008, 'Lemahmekar, Indramayu, Jawa Barat')"
JAWA BARAT_INDRAMAYU_LELEA_TEMPEL KULON,2092,"(-6.449579999999969, 108.20523000000009, 'Tempelkulon, Lelea, Jawa Barat')"
JAWA BARAT_BANDUNG_ANDIR_CAMPAKA,12497,"(-6.901789999999949, 107.56624000000005, 'Campaka, Andir, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_ANDIR_CIROYOM,13582,"(-6.915069999999957, 107.58858000000004, 'Ciroyom, Andir, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_ANDIR_DUNGUS CARIANG,13392,"(-6.911229999999932, 107.57964000000004, 'Dungus Cariang, Andir, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_CIBEUNYING KIDUL_PADASUKA,12101,"(-6.904209999999978, 107.64396000000005, 'Padasuka, Cibeunying Kidul, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_CIBEUNYING KIDUL_PASIRLAYUNG,15140,"(-6.8953599999999255, 107.65631000000008, 'Pasirlayung, Cibeunying Kidul, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_CIBEUNYING KIDUL_SUKAMAJU,7956,"(-6.907679999999971, 107.63346000000007, 'Sukamaju, Cibeunying Kidul, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_CIBEUNYING KIDUL_SUKAPADA,14685,"(-6.894659999999931, 107.64779000000004, 'Sukapada, Cibeunying Kidul, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_CIBIRU_CIPADUNG,13958,"(-6.923449999999946, 107.71976000000006, 'Cipadung, Cibiru, Bandung, Jawa Barat')"
JAWA BARAT_KUNINGAN_CIBINGBIN_CIPONDOK,3005,"(-7.059489999999926, 108.76829000000004, 'Cibingbin, Jawa Barat')"
JAWA BARAT_MAJALENGKA_MAJALENGKA_CIJATI,3582,"(-6.82923999999997, 108.21012000000007, 'Cijati, Majalengka, Jawa Barat')"
JAWA BARAT_MAJALENGKA_MAJALENGKA_MAJALENGKA KULON,8067,"(-6.834109999999953, 108.22064000000006, 'Majalengka Kulon, Majalengka, Jawa Barat')"
JAWA BARAT_MAJALENGKA_MAJALENGKA_MAJALENGKA WETAN,6353,"(-6.834439999999972, 108.23742000000004, 'Majalengka Wetan, Majalengka, Jawa Barat')"
JAWA BARAT_MAJALENGKA_MAJALENGKA_MUNJUL,2912,"(-6.832289999999944, 108.20753000000008, 'Munjul, Majalengka, Jawa Barat')"
JAWA BARAT_CIREBON_GEBANG_KALIMARO,2296,"(-6.837019999999939, 108.71312000000006, 'Kalimaro, Gebang, Cirebon, Jawa Barat')"
