unique_location,count(nik),koordinat
JAWA BARAT_BANDUNG BARAT_CIPATAT_SUMUR BANDUNG,5180,"(-6.789169999999956, 107.42314000000005, 'Sumurbandung, Cipatat, Jawa Barat')"
JAWA BARAT_BOGOR_BOGOR SELATAN_KERTAMAYA,4200,"(-6.650489999999934, 106.82829000000004, 'Kertamaya, Bogor Selatan, Bogor, Jawa Barat')"
JAWA BARAT_PURWAKARTA_PURWAKARTA_MUNJULJAYA,12707,"(-6.532079999999951, 107.48242000000005, 'Munjuljaya, Purwakarta, Jawa Barat')"
JAWA BARAT_GARUT_CISURUPAN_KARAMATWANGI,4842,"(-7.310149999999965, 107.79257000000007, 'Karamatwangi, Cisurupan, Jawa Barat')"
JAWA BARAT_BOGOR_CITEUREUP_KARANG ASEM BARAT,14333,"(-6.491329999999948, 106.86991000000006, 'Karang Asem Barat, Citeureup, Bogor, Jawa Barat')"
JAWA BARAT_CIREBON_KEJAKSAN_KESENDEN,9559,"(-6.698959999999943, 108.55918000000008, 'Kesenden, Kejaksan, Cirebon, Jawa Barat')"
JAWA BARAT_SUKABUMI_CIKOLE_GUNUNG PARANG,3064,"(-6.923069999999939, 106.93083000000007, 'Gunung Parang, Cikole, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_CIKOLE_KEBONJATI,5309,"(-6.922959999999932, 106.93409000000008, 'Kebonjati, Cikole, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_CIKOLE_SELABATU,6610,"(-6.909259999999961, 106.93444000000005, 'Selabatu, Cikole, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_CIKOLE_SUBANGJAYA,10951,"(-6.918429999999944, 106.94860000000006, 'Subangjaya, Cikole, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_CITAMIANG_CIKONDANG,5836,"(-6.944439999999929, 106.92451000000005, 'Cikondang, Citamiang, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_CITAMIANG_CITAMIANG,5936,"(-6.93680999999998, 106.93157000000008, 'Citamiang, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_CITAMIANG_GEDONGPANJANG,5648,"(-6.943519999999978, 106.93375000000009, 'Gedong Panjang, Citamiang, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_CITAMIANG_NANGGELENG,10419,"(-6.932339999999954, 106.93451000000005, 'Nanggeleng, Citamiang, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_CITAMIANG_TIPAR,6241,"(-6.926949999999977, 106.92844000000008, 'Tipar, Citamiang, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_GUNUNG PUYUH_GUNUNG PUYUH,5609,"(-6.917239999999936, 106.91911000000005, 'Gunung Puyuh, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_GUNUNG PUYUH_KARAMAT,6372,"(-6.905569999999955, 106.92243000000008, 'Karamat, Gunung Puyuh, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_GUNUNG PUYUH_KARANGTENGAH,11769,"(-6.909889999999962, 106.91345000000007, 'Karang Tengah, Gunung Puyuh, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_GUNUNG PUYUH_SRIWIDARI,7046,"(-6.915119999999945, 106.92325000000005, 'Sriwidari, Gunung Puyuh, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_LEMBURSITU_CIKUNDUL,5076,"(-6.971089999999947, 106.91398000000004, 'Cikundul, Lembursitu, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_LEMBURSITU_CIPANENGAH,5414,"(-6.9547699999999395, 106.91062000000005, 'Cipanengah, Lembursitu, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_LEMBURSITU_LEMBURSITU,7905,"(-6.971549999999979, 106.90430000000003, 'Lembursitu, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_LEMBURSITU_SINDANGSARI,3911,"(-6.9527799999999615, 106.91510000000005, 'Sindangsari, Lembursitu, Sukabumi, Jawa Barat')"
JAWA BARAT_SUKABUMI_LEMBURSITU_SITUMEKAR,4112,"(-6.969789999999932, 106.89757000000009, 'Situmekar, Lembursitu, Sukabumi, Jawa Barat')"
JAWA BARAT_CIANJUR_CIANJUR_BABAKANKARET,6347,"(-6.7971299999999815, 107.13374000000005, 'Babakankaret, Cianjur, Jawa Barat')"
JAWA BARAT_CIANJUR_CIANJUR_BOJONGHERANG,11199,"(-6.810489999999959, 107.13758000000007, 'Bojongherang, Cianjur, Jawa Barat')"
JAWA BARAT_CIANJUR_CIANJUR_MUKA,12567,"(-6.810559999999953, 107.14673000000005, 'Muka, Cianjur, Jawa Barat')"
JAWA BARAT_CIANJUR_CIANJUR_PAMOYANAN,9858,"(-6.820119999999974, 107.13394000000005, 'Pamoyanan, Cianjur, Jawa Barat')"
JAWA BARAT_CIANJUR_CIANJUR_SAWAHGEDE,9469,"(-6.827849999999955, 107.13069000000007, 'Sawah Gede, Cianjur, Jawa Barat')"
JAWA BARAT_BANDUNG_MARGAHAYU_SULAIMAN,1928,"(-6.979599999999948, 107.56403000000006, 'Sulaeman, Margahayu, Bandung, Jawa Barat')"
JAWA BARAT_KARAWANG_KOTA BARU_CIKAMPEK UTARA,12719,"(-6.401399999999967, 107.46245000000005, 'Cikampek Utara, Kotabaru, Jawa Barat')"
JAWA BARAT_BANDUNG_BANDUNG WETAN_CITARUM,1413,"(-6.90468999999996, 107.61696000000006, 'Citarum, Bandung Wetan, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BANDUNG WETAN_TAMANSARI,15221,"(-6.899949999999933, 107.60938000000004, 'Taman Sari, Bandung Wetan, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BATUNUNGGAL_BINONG,12386,"(-6.931269999999927, 107.64089000000007, 'Binong, Batununggal, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BATUNUNGGAL_CIBANGKONG,12274,"(-6.924889999999948, 107.63257000000004, 'Cibangkong, Batununggal, Bandung, Jawa Barat')"
JAWA BARAT_BANDUNG_BATUNUNGGAL_GUMURUH,12700,"(-6.9380899999999315, 107.63706000000008, 'Gumuruh, Batununggal, Bandung, Jawa Barat')"
